City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mahebourg,MU,-20.4081,57.7,23.16,88,40,4.12,scattered clouds
1,Ushuaia,AR,-54.8,-68.3,2.81,81,75,0.0,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,4.06,81,0,4.45,clear sky
3,Provideniya,RU,64.3833,-173.3,3.68,63,16,1.8,few clouds
4,Fortuna,US,40.5982,-124.1573,18.57,66,75,2.24,broken clouds
5,Balingasay,PH,16.3573,119.8564,28.23,79,100,4.6,overcast clouds
6,Ribeira Grande,PT,38.5167,-28.7,21.22,78,40,5.66,scattered clouds
7,Bengkulu,ID,-3.8004,102.2655,23.49,89,14,2.0,few clouds
8,Fershampenuaz,RU,53.5202,59.8117,14.92,45,12,0.48,few clouds
9,Cairns,AU,-16.9167,145.7667,20.97,85,75,3.09,broken clouds
10,Guilin,CN,25.2819,110.2864,21.06,83,0,1.33,clear sky
11,Brae,GB,60.3964,-1.353,11.95,77,32,3.48,scattered clouds
12,Chokurdakh,RU,70.6333,147.9167,1.66,83,100,3.23,overcast clouds
13,Barrow,US,71.2906,-156.7887,-0.99,93,90,5.66,mist
14,Khani,GE,41.9563,42.9566,10.76,99,100,1.22,overcast clouds
15,Butaritari,KI,3.0707,172.7902,27.79,74,16,3.48,few clouds
16,Lethem,GY,3.3803,-59.7968,29.91,68,53,2.96,broken clouds
17,Cape Town,ZA,-33.9258,18.4232,21.23,30,0,4.35,clear sky
18,Ancud,CL,-41.8697,-73.8203,10.24,78,100,5.77,overcast clouds
19,Port Blair,IN,11.6667,92.75,28.86,78,96,5.57,overcast clouds
20,Port Alfred,ZA,-33.5906,26.891,18.44,41,0,4.25,clear sky
21,Bathsheba,BB,13.2167,-59.5167,30.34,54,40,8.32,scattered clouds
22,Kushiro,JP,42.975,144.3747,12.62,86,95,3.25,overcast clouds
23,Hay River,CA,60.8156,-115.7999,5.99,70,75,8.23,broken clouds
24,Saryozek,KZ,44.3583,77.9753,14.2,42,8,1.06,clear sky
25,Hilo,US,19.7297,-155.09,24.89,74,21,0.45,few clouds
26,Kahului,US,20.8947,-156.47,24.91,83,4,2.68,clear sky
27,Atuona,PF,-9.8,-139.0333,26.6,64,66,4.2,broken clouds
28,Bhayavadar,IN,21.85,70.25,29.67,64,6,5.64,clear sky
29,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,5.33,100,90,1.48,light rain
30,Berezovyy,RU,51.6667,135.7,8.27,97,77,0.63,broken clouds
31,Rikitea,PF,-23.1203,-134.9692,24.81,83,98,6.02,light rain
32,Souillac,MU,-20.5167,57.5167,23.21,88,40,3.88,light rain
33,Saldanha,ZA,-33.0117,17.9442,19.03,46,28,5.5,scattered clouds
34,El Doncello,CO,1.6782,-75.2847,27.47,82,36,0.94,moderate rain
35,Flinders,AU,-34.5833,150.8552,11.7,83,22,0.45,few clouds
36,Pimentel,PE,-6.8367,-79.9342,21.16,83,90,1.34,overcast clouds
37,Kokopo,PG,-4.352,152.2633,24.59,88,92,2.63,light rain
38,Norman Wells,CA,65.282,-126.8329,7.02,87,90,4.63,light rain
39,Mount Gambier,AU,-37.8333,140.7667,12.95,76,40,6.69,scattered clouds
40,Great Bend,US,38.3645,-98.7648,29.91,66,86,2.24,overcast clouds
41,Killybegs,IE,54.6333,-8.45,14.84,69,98,2.17,overcast clouds
42,Bambous Virieux,MU,-20.3428,57.7575,23.14,88,40,4.15,scattered clouds
43,Tiksi,RU,71.6872,128.8694,5.83,68,90,3.06,overcast clouds
44,Puerto Escondido,MX,15.85,-97.0667,31.59,64,75,3.22,broken clouds
45,Rawson,AR,-43.3002,-65.1023,12.98,41,64,9.53,broken clouds
46,Saint-Augustin,CA,51.226,-58.6502,15.82,34,4,3.18,clear sky
47,Hermanus,ZA,-34.4187,19.2345,17.59,46,8,3.96,clear sky
48,Castro,BR,-24.7911,-50.0119,23.29,48,88,2.72,overcast clouds
49,Arkhara,RU,49.4212,130.0842,10.28,86,1,0.58,clear sky
50,Kaitangata,NZ,-46.2817,169.8464,8.85,96,72,0.89,broken clouds
51,Talnakh,RU,69.4865,88.3972,-1.38,99,100,1.65,light snow
52,Carballo,ES,43.213,-8.691,23.93,83,80,4.09,broken clouds
53,Kyra,RU,49.5776,111.9753,14.51,51,92,1.81,overcast clouds
54,Dikson,RU,73.5069,80.5464,-0.85,85,100,4.47,overcast clouds
55,Saint-Philippe,RE,-21.3585,55.7679,22.75,84,78,5.82,light rain
56,Nalut,LY,30.3333,10.85,35.98,10,25,5.33,scattered clouds
57,San Patricio,US,28.017,-97.5169,32.23,64,3,7.4,clear sky
58,Geraldton,AU,-28.7667,114.6,11.23,93,80,5.21,broken clouds
59,Coquimbo,CL,-29.9533,-71.3436,14.85,77,75,2.69,broken clouds
60,Yellowknife,CA,62.456,-114.3525,7.38,65,75,6.69,broken clouds
61,Nikolskoye,RU,59.7035,30.7861,19.94,64,15,2.69,few clouds
62,Beidao,CN,34.5686,105.8933,19.03,58,98,1.75,overcast clouds
63,Avarua,CK,-21.2078,-159.775,22.03,68,20,2.06,few clouds
64,Kumbo,CM,6.2,10.6667,16.34,92,88,1.48,moderate rain
65,Vaini,TO,-21.2,-175.2,22.09,83,40,3.09,scattered clouds
66,Hofn,IS,64.2539,-15.2082,11.01,82,40,6.69,scattered clouds
67,Ihiala,NG,5.8538,6.8603,23.72,90,99,2.03,overcast clouds
68,Thompson,CA,55.7435,-97.8558,16.09,77,90,2.06,overcast clouds
69,Bure,ET,10.7,37.0667,16.35,81,16,1.8,few clouds
70,Hornepayne,CA,49.2138,-84.7705,26.45,51,86,5.46,overcast clouds
71,Vila Franca Do Campo,PT,37.7167,-25.4333,20.23,79,99,1.87,overcast clouds
72,Victoria,HK,22.2855,114.1577,28.03,87,17,0.45,few clouds
73,Asyut,EG,27.181,31.1837,29.1,17,3,5.3,clear sky
74,Bonfim,BR,3.0833,-59.95,30.45,62,41,2.45,scattered clouds
75,Lompoc,US,34.6391,-120.4579,20.38,81,90,1.34,overcast clouds
76,Sur,OM,22.5667,59.5289,29.52,77,0,6.88,clear sky
77,Pevek,RU,69.7008,170.3133,8.24,73,29,5.69,scattered clouds
78,Bilma,NE,18.6853,12.9164,36.98,12,87,3.12,overcast clouds
79,Hobart,AU,-42.8794,147.3294,12.92,78,90,0.89,overcast clouds
80,Sitka,US,57.0531,-135.33,10.38,78,94,1.21,overcast clouds
81,Binlod,PH,9.9185,123.6074,25.89,83,100,3.68,moderate rain
82,Avera,US,33.194,-82.5271,32.17,38,89,2.54,overcast clouds
83,Puerto Ayora,EC,-0.7393,-90.3518,26.98,84,27,3.13,scattered clouds
84,Garissa,KE,-0.4536,39.6401,26.22,64,38,9.78,scattered clouds
85,Te Anau,NZ,-45.4167,167.7167,2.47,93,20,0.56,few clouds
86,Arraial Do Cabo,BR,-22.9661,-42.0278,28.92,58,0,3.09,clear sky
87,Bluff,NZ,-46.6,168.3333,7.9,84,53,3.55,broken clouds
88,Sinnamary,GF,5.3833,-52.95,24.85,91,88,4.2,overcast clouds
89,Upernavik,GL,72.7868,-56.1549,2.92,83,15,1.48,few clouds
90,Varnamo,SE,57.186,14.04,24.17,42,75,4.67,broken clouds
91,Yar-Sale,RU,66.8333,70.8333,3.37,63,60,5.31,broken clouds
92,Dakar,SN,14.6937,-17.4441,29.49,69,21,4.12,dust
93,Roswell,US,34.0232,-84.3616,30.03,74,90,0.45,overcast clouds
94,Pacific Grove,US,36.6177,-121.9166,17.11,80,65,1.34,broken clouds
95,Beloha,MG,-25.1667,45.05,17.17,71,73,6.45,broken clouds
96,Ponta Do Sol,PT,32.6667,-17.1,22.06,73,0,0.86,clear sky
97,Morbach,DE,49.8167,7.1167,16.82,81,75,2.77,broken clouds
98,East London,ZA,-33.0153,27.9116,15.52,58,0,2.57,clear sky
99,Khilok,RU,51.3674,110.4676,6.99,96,100,1.72,overcast clouds
100,New Norfolk,AU,-42.7826,147.0587,12.73,82,100,0.45,overcast clouds
101,Husavik,IS,66.0449,-17.3389,15.95,60,73,4.63,light rain
102,Puerto Del Rosario,ES,28.5004,-13.8627,21.86,73,20,8.23,few clouds
103,Bredasdorp,ZA,-34.5322,20.0403,13.62,44,10,2.9,clear sky
104,San Lorenzo De El Escorial,ES,40.5914,-4.1474,26.49,31,31,0.73,scattered clouds
105,Vondrozo,MG,-22.8167,47.2833,14.67,98,75,1.67,light rain
106,Zhigansk,RU,66.7697,123.3711,8.01,45,58,3.66,broken clouds
107,Fairbanks,US,64.8378,-147.7164,16.94,61,1,0.0,clear sky
108,Tuktoyaktuk,CA,69.4541,-133.0374,1.0,69,90,4.12,overcast clouds
109,Antalaha,MG,-14.9003,50.2788,22.07,85,18,3.66,few clouds
110,Albany,US,42.6001,-73.9662,33.03,42,64,0.45,broken clouds
111,Urubicha,BO,-15.3833,-62.95,33.83,31,1,1.87,clear sky
112,Miraflores,MX,19.2167,-98.8083,20.36,39,67,1.68,broken clouds
113,Shelburne,CA,44.0787,-80.2041,31.26,63,86,5.91,overcast clouds
114,Salalah,OM,17.0151,54.0924,28.34,84,47,4.36,scattered clouds
115,Busselton,AU,-33.65,115.3333,10.05,73,19,4.17,few clouds
116,Jamestown,US,42.097,-79.2353,28.94,61,44,4.71,scattered clouds
117,Nekrasovskoye,RU,57.6766,40.3657,20.94,64,0,1.82,clear sky
118,Airai,TL,-8.9266,125.4092,13.15,87,98,1.25,overcast clouds
119,Mataura,NZ,-46.1927,168.8643,4.45,96,82,1.11,broken clouds
120,Denpasar,ID,-8.65,115.2167,26.81,94,20,0.63,few clouds
121,Lebu,CL,-37.6167,-73.65,10.83,67,100,0.48,overcast clouds
122,Taksimo,RU,56.3444,114.8794,10.61,84,100,2.54,light rain
123,Turukhansk,RU,65.8167,87.9833,-0.04,93,91,0.6,overcast clouds
124,Tabou,CI,4.423,-7.3528,27.04,79,81,4.24,broken clouds
125,Pangnirtung,CA,66.1451,-65.7125,7.0,45,75,4.63,broken clouds
126,Severo-Kurilsk,RU,50.6789,156.125,4.81,95,94,3.94,overcast clouds
127,Bay Roberts,CA,47.5999,-53.2648,10.58,89,99,5.81,light rain
128,Gushikawa,JP,26.3544,127.8686,23.77,91,90,4.31,heavy intensity rain
129,Port Lincoln,AU,-34.7333,135.8667,15.59,53,65,9.1,broken clouds
130,Hasaki,JP,35.7333,140.8333,19.05,88,99,1.66,overcast clouds
131,Russell,US,32.3502,-85.1999,29.84,58,75,1.82,broken clouds
132,Lahaina,US,20.8783,-156.6825,24.89,78,1,4.47,clear sky
133,Walvis Bay,NA,-22.9575,14.5053,25.53,25,1,3.07,clear sky
134,Kapaa,US,22.0752,-159.319,25.99,77,24,0.89,few clouds
135,Guerrero Negro,MX,27.9769,-114.0611,22.26,54,61,4.12,broken clouds
136,Marsh Harbour,BS,26.5412,-77.0636,26.97,74,94,7.51,overcast clouds
137,Ulety,RU,51.3572,112.4849,11.06,90,86,1.84,overcast clouds
138,Neiafu,TO,-18.65,-173.9833,23.38,83,20,2.57,few clouds
139,Kailua,US,21.4022,-157.7394,25.08,70,14,9.25,few clouds
140,Znamenskoye,RU,57.1281,73.8282,15.09,71,4,3.75,clear sky
141,Aykhal,RU,66.0,111.5,3.47,87,100,7.27,light rain
142,Mandawar,IN,29.5,78.1333,32.27,34,8,1.76,clear sky
143,Severnoye,RU,56.3491,78.3619,14.35,77,19,4.83,few clouds
144,Whittlesea,ZA,-32.1759,26.8244,9.67,42,0,2.78,clear sky
145,Nagato,JP,34.3833,131.2,18.95,83,97,1.51,overcast clouds
146,Portland,US,45.5234,-122.6762,14.79,71,100,1.34,overcast clouds
147,Cap-Aux-Meules,CA,47.3821,-61.8597,12.03,66,20,5.14,few clouds
148,Chuy,UY,-33.6971,-53.4616,14.34,63,100,3.59,overcast clouds
149,Ferrandina,IT,40.5012,16.4547,23.72,45,99,1.07,overcast clouds
150,Santa Cecilia,BR,-26.9608,-50.4269,13.58,95,100,1.27,light rain
151,Northam,GB,51.0333,-4.2167,19.79,82,58,2.96,broken clouds
152,Montepuez,MZ,-13.1256,38.9997,17.88,66,53,3.03,broken clouds
153,Nome,US,64.5011,-165.4064,2.31,93,90,2.57,mist
154,Cherskiy,RU,68.75,161.3,16.03,48,53,7.0,broken clouds
155,Faya,SA,18.3851,42.4509,25.06,48,21,1.77,few clouds
156,Esperance,AU,-33.8667,121.9,11.91,58,71,12.4,broken clouds
157,Mwaro,BI,-3.5,29.6667,15.01,74,93,1.23,overcast clouds
158,Tasiilaq,GL,65.6145,-37.6368,4.03,91,92,1.98,overcast clouds
159,North Shore,NZ,-36.8,174.75,14.73,94,100,2.68,light rain
160,Tornio,FI,65.8481,24.1466,21.01,51,51,2.71,broken clouds
161,Oeiras,BR,-7.0253,-42.1311,36.38,23,8,3.35,clear sky
162,Carnarvon,AU,-24.8667,113.6333,18.04,72,100,4.12,overcast clouds
163,Upata,VE,8.0086,-62.3989,28.49,63,93,3.06,overcast clouds
164,Benton Harbor,US,42.1167,-86.4542,30.33,69,13,4.84,few clouds
165,Along,IN,28.1667,94.7667,22.37,98,98,0.25,overcast clouds
166,Laguna,US,38.421,-121.4238,31.19,42,1,1.79,clear sky
167,Mokhsogollokh,RU,61.4681,128.9203,11.02,61,95,2.89,overcast clouds
168,Tripoli,LY,32.8752,13.1875,30.88,31,78,7.48,broken clouds
169,Itaituba,BR,-4.2761,-55.9836,33.09,62,40,1.56,scattered clouds
170,Santo Antonio De Jesus,BR,-12.9689,-39.2614,24.05,85,63,3.4,broken clouds
171,Potosi,BO,-19.5836,-65.7531,10.59,16,75,9.68,broken clouds
172,Hithadhoo,MV,-0.6,73.0833,28.49,72,82,5.46,broken clouds
173,Cidreira,BR,-30.1811,-50.2056,17.43,82,100,3.78,moderate rain
174,Baijiantan,CN,45.6333,85.1833,20.52,22,28,3.74,scattered clouds
175,Khatanga,RU,71.9667,102.5,0.11,90,95,2.23,overcast clouds
176,Krechevitsy,RU,58.617,31.401,19.35,64,54,1.93,broken clouds
177,Coihaique,CL,-45.5752,-72.0662,8.34,81,75,2.06,broken clouds
178,Ilulissat,GL,69.2167,-51.1,4.95,71,49,2.05,scattered clouds
179,Ahipara,NZ,-35.1667,173.1667,15.99,89,100,7.62,light rain
180,Yulara,AU,-25.2406,130.9889,6.91,65,1,2.57,clear sky
181,Tiarei,PF,-17.5333,-149.3333,26.01,76,5,5.48,clear sky
182,Lixourion,GR,38.2019,20.4314,21.45,70,54,3.33,broken clouds
183,Gazojak,TM,41.1875,61.4036,34.23,19,8,6.27,clear sky
184,Iracoubo,GF,5.4802,-53.2011,24.3,90,91,4.05,overcast clouds
185,Torbay,CA,47.6666,-52.7314,10.16,94,90,8.23,mist
186,Arrecife,ES,28.963,-13.5477,22.04,68,75,9.26,broken clouds
187,Vestmannaeyjar,IS,63.4427,-20.2734,8.55,93,90,5.66,moderate rain
188,Delijan,IR,33.9905,50.6838,30.33,10,0,6.97,clear sky
189,Vostok,RU,46.4856,135.8833,6.64,95,76,1.4,broken clouds
190,Olafsvik,IS,64.8945,-23.7142,8.68,86,99,1.67,light rain
191,Bastia,FR,42.6667,9.3333,22.89,87,75,0.67,broken clouds
192,Kodiak,US,57.79,-152.4072,10.77,65,15,3.1,few clouds
193,Shubarkuduk,KZ,49.1447,56.4872,19.92,36,100,0.59,overcast clouds
194,Eyl,SO,7.9803,49.8164,27.03,82,0,8.14,clear sky
195,Clyde River,CA,70.4692,-68.5914,1.13,100,90,5.14,fog
196,Gold Coast,AU,-28.0,153.4333,12.22,90,0,3.18,clear sky
197,Georgetown,MY,5.4112,100.3354,27.16,91,20,1.03,few clouds
198,Ereymentau,KZ,51.6199,73.1033,14.03,47,0,2.1,clear sky
199,Roma,US,43.2128,-75.4557,31.64,46,73,0.89,broken clouds
200,Bandarbeyla,SO,9.4942,50.8122,27.07,81,3,12.77,clear sky
201,Candelaria,PH,13.9311,121.4233,25.22,90,100,1.78,overcast clouds
202,Basoko,CD,1.2391,23.616,22.96,91,98,1.74,overcast clouds
203,Vao,NC,-22.6667,167.4833,21.48,62,83,7.06,broken clouds
204,Markova,UA,48.6758,24.4138,16.77,90,13,2.12,few clouds
205,Tevaitoa,PF,-16.7833,-151.5,27.07,73,3,5.39,clear sky
206,Luau,AO,-10.7073,22.2247,18.73,47,60,1.97,broken clouds
207,Manhattan,US,40.7834,-73.9662,36.74,37,20,2.06,few clouds
208,Khasan,RU,42.4308,130.6434,13.6,81,97,1.85,overcast clouds
209,Egvekinot,RU,66.3167,-179.1667,0.65,79,24,0.91,few clouds
210,Biltine,TD,14.5333,20.9167,36.08,11,37,3.43,scattered clouds
211,Rio Claro,BR,-22.4114,-47.5614,29.88,32,92,0.85,overcast clouds
212,Porbandar,IN,21.6422,69.6093,29.54,69,2,5.18,clear sky
213,Longyearbyen,SJ,78.2186,15.6401,0.51,92,35,1.81,scattered clouds
214,Manzhouli,CN,49.6,117.4333,14.75,44,0,1.86,clear sky
215,Saint George,US,37.1041,-113.5841,36.46,12,1,0.45,clear sky
216,Chistogorskiy,RU,53.9835,87.3843,10.31,98,88,2.46,overcast clouds
217,Bonavista,CA,48.6499,-53.1147,13.0,82,99,11.39,overcast clouds
218,Yarkovo,RU,57.4028,67.0786,17.14,55,14,4.34,few clouds
219,Huinan,CN,42.6225,126.2614,11.72,89,42,1.52,scattered clouds
220,Margate,GB,51.3813,1.3862,20.06,82,49,3.62,scattered clouds
221,Sioux Lookout,CA,50.1001,-91.917,23.21,83,90,4.12,overcast clouds
222,Mopipi,BW,-21.1833,24.8833,13.76,44,0,3.77,clear sky
223,Tuatapere,NZ,-46.1333,167.6833,5.04,89,43,1.77,scattered clouds
224,Kuntaur,GM,13.6667,-14.8833,41.12,19,0,3.95,clear sky
225,Lasa,IT,46.6166,10.7002,16.46,89,99,1.7,overcast clouds
226,Sao Filipe,CV,14.8961,-24.4956,24.71,66,76,5.18,broken clouds
227,Odienne,CI,9.51,-7.5692,35.41,30,21,3.27,few clouds
228,Naze,JP,28.3667,129.4833,20.29,94,100,1.0,light rain
229,Arauca,CO,7.0847,-70.7591,24.62,93,100,3.16,light rain
230,Wilmington,US,34.2257,-77.9447,27.77,83,20,4.12,few clouds
231,Yamada,JP,39.4667,141.95,16.86,79,100,3.05,overcast clouds
232,Ballina,AU,-28.8667,153.5667,9.41,92,11,0.51,few clouds
